Timestamp,Attack Type,Severity Level,Action Taken,Protocol,Network Segment,Traffic Type,Log Source,Anomaly Scores,Source IP Address,Destination IP Address
2023-05-30 06:33:58,Malware,Low,Logged,ICMP,Segment A,HTTP,Server,28.67,103.216.15.12,84.9.164.252
2020-08-26 07:08:30,Malware,Low,Blocked,ICMP,Segment B,HTTP,Firewall,51.5,78.199.217.198,66.191.137.154
2022-11-13 08:23:25,DDoS,Low,Ignored,UDP,Segment C,HTTP,Firewall,87.42,63.79.210.48,198.219.82.17
2023-07-02 10:38:46,Malware,Medium,Blocked,UDP,Segment B,HTTP,Firewall,15.79,163.42.196.10,101.228.192.255
2023-07-16 13:11:07,DDoS,Low,Blocked,TCP,Segment C,DNS,Firewall,0.52,71.166.185.76,189.243.174.238
2022-10-28 13:14:27,Malware,Medium,Logged,UDP,Segment C,HTTP,Server,5.76,198.102.5.160,147.190.155.133
2022-05-16 17:55:43,DDoS,High,Ignored,TCP,Segment A,DNS,Server,31.55,97.253.103.59,77.16.101.53
2023-02-12 07:13:17,Intrusion,High,Logged,ICMP,Segment A,DNS,Firewall,54.05,11.48.99.245,178.157.14.116
2023-06-27 11:02:56,Intrusion,High,Blocked,TCP,Segment B,FTP,Server,56.34,49.32.208.167,72.202.237.9
2021-08-15 22:29:04,Malware,Medium,Blocked,UDP,Segment A,HTTP,Server,16.51,114.109.149.113,160.88.194.172
2022-07-20 13:28:50,Malware,Medium,Ignored,ICMP,Segment B,HTTP,Server,24.91,177.21.83.200,196.218.124.169
2022-06-26 15:15:50,Malware,Low,Ignored,TCP,Segment B,HTTP,Firewall,86.07,92.4.25.171,112.43.185.24
2020-09-30 21:35:31,Intrusion,Medium,Blocked,ICMP,Segment B,DNS,Server,74.2,57.91.207.84,98.96.110.38
2021-01-13 02:30:18,Malware,Low,Ignored,ICMP,Segment C,HTTP,Firewall,62.14,80.28.21.123,111.204.103.106
2023-02-01 13:17:17,Malware,High,Logged,UDP,Segment B,DNS,Firewall,72.65,54.163.130.178,62.112.149.214
2023-09-15 20:35:21,Intrusion,Medium,Logged,TCP,Segment C,DNS,Firewall,91.56,130.163.192.252,12.192.2.112
2023-04-18 16:46:46,DDoS,High,Ignored,TCP,Segment B,HTTP,Server,43.83,4.255.187.165,136.159.186.239
2023-02-21 07:02:55,DDoS,Low,Logged,TCP,Segment B,HTTP,Firewall,40.46,212.164.196.41,32.26.31.49
